id,entity_name,dba,all_licenses,total_licenses,license_sub_types,address,city,state,zip_code,municipal_phone,place_id,google_name,formatted_address,website,phone_number,primary_category,categories,rating,user_ratings_total,business_status,enriched_at
11,12 VENTURES LLC,"HABIT BURGER GRILL, THE",2016301952,1,Restaurant/Food Service,543 N Stephanie St,Henderson,Nevada,89014,(702) 547-4908,ChIJGaBQ4VfQyIARBbWYsgKPG_E,Habit Burger & Grill,"543 N Stephanie St, Henderson, NV 89014, USA",https://order.habitburger.com/store/5008/category,(702) 547-4352,Food,"Food, Restaurant",4.4,1669,OPERATIONAL,2026-08-24 14:41:33
12,123 SAVE A HOME INC,123 SAVE A HOME INC,2011302686,1,Non-Profit Registration,871 Coronado Center Dr,Henderson,Nevada,89052,,ChIJ-fYHb2zPyIAR1TQymCu5Uwk,Center For Sight,"871 Coronado Center Dr Ste 130, Henderson, NV 89052, USA",https://centerforsightlv.com/center-sight-coronado-center/,(702) 724-2020,Doctor,"Doctor, Health",4.7,628,OPERATIONAL,2026-08-24 14:41:34
13,"1250 Henderson Owner, LLC",The Hendry,2024331016,1,Apartment House,1250 Wigwam Pkwy,Henderson,Nevada,89074,,ChIJz3JdJabRyIAREJcYKH9KsIU,The Hendry,"1250 Wigwam Pkwy, Henderson, NV 89074, USA",https://www.the-hendryapts.com/,(725) 307-5215,Real Estate Agency,Real Estate Agency,4.5,350,OPERATIONAL,2026-08-24 14:41:34
14,13 Reconciliation Services LLC,13 Reconciliation Services LLC,2025333571,1,Admin/Clerical Services,204 Sunset Shower Dr,Henderson,Nevada,89012,,ChIJ0w2IngTwwIcRRSDbFXgxHgU,Reconciliation Services,"3101 Troost Ave, Kansas City, MO 64109, USA",http://www.rs3101.org/,(816) 931-4751,Establishment,,4.4,147,OPERATIONAL,2026-08-24 14:41:35
15,"133 S. Water Street, LLP",No. 1 Boba Tea Social,2021318120,1,Restaurant/Food Service,133 S Water St,Henderson,Nevada,89015,(702) 849-8062,ChIJF4Gezz3XyIARNvts8Z-swUQ,No. 1 Boba Tea Social Water Street,"133 S Water St, Henderson, NV 89015, USA",https://www.no1bobatea.us/,(702) 558-2899,Food,"Food, Restaurant",4.4,211,OPERATIONAL,2026-08-24 14:41:36
16,"1349 HORIZON RIDGE, LP",Bella Terra Apartments,2007303961,1,Apartment House,1349 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,ChIJxXahxXfRyIAR77ZOkw0fiKo,Bella Terra,"1349 W Horizon Ridge Pkwy, Henderson, NV 89012, USA",https://www.bellaterra-henderson.com/?utm_knock=plc,(725) 527-6894,Establishment,,3.1,69,OPERATIONAL,2026-08-24 14:41:36
17,"1414 RED SUNSET, LLC",Red Sunset Care Home,2021317575,1,Group Care Facility,1414 Red Sunset Ave,Henderson,Nevada,89074,(702) 403-7535,ChIJxfujOnbRyIAR93w0OMbVGHc,Red Sunset Care Home,"1414 Red Sunset Ave, Henderson, NV 89074, USA",,,Health,Health,0.0,0,OPERATIONAL,2026-08-24 14:41:37
18,"143 Event Studio, LLC","143 Event Studio, LLC",2024331353,1,Banquet Facility,3530 Volunteer Blvd,Henderson,Nevada,89044,,ChIJr1bz57HNyIAR-7UauO_g5KM,143 Event Studio,"3530 Volunteer Blvd Ste 140, Henderson, NV 89044, USA",https://www.143eventstudio.com/,(702) 427-6197,Establishment,,4.9,14,OPERATIONAL,2026-08-24 14:41:37
19,"1450 Country Kitchen, LLC",Timbers Grill,2007302169,1,Restaurant/Food Service,1450 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,ChIJNzmVL5zRyIAR_1uXrKP3gbE,Timbers Bar & Grill,"1450 W Horizon Ridge Pkwy, Henderson, NV 89012, USA",http://www.timbersgaming.com/,(702) 492-0027,Bar,"Bar, Food, Restaurant",4.5,789,OPERATIONAL,2026-08-24 14:41:38
20,"14528 Henderson, LLC",Claim Jumper Restaurant,2023321471,1,Restaurant/Food Service,601 N Green Valley Pkwy,Henderson,Nevada,89074,,ChIJLUQsj9vRyIARGUd9QcdheVA,"Claim Jumper Steakhouse & Bar - Henderson, NV","601 N Green Valley Pkwy, Henderson, NV 89074, USA",https://www.claimjumper.com/,(725) 220-4914,Bar,"Bar, Food, Restaurant",4.3,3423,CLOSED_PERMANENTLY,2026-08-24 14:41:38
21,1POINT618 L.L.C.,The Juice Standard,"2015301065, 2019311529",2,Restaurant/Food Service,2530 St Rose Pkwy,Henderson,Nevada,89074,,ChIJ2fSPFSLOyIARJYoJZbCeQTg,The Juice Standard,"2530 St Rose Pkwy, Henderson, NV 89074, USA",http://juicestandard.com/,(702) 979-9803,Cafe,"Cafe, Food, Restaurant, Store",4.6,159,OPERATIONAL,2026-08-24 14:41:39
22,1st Choice Air Duct Care LLC,1st Choice Air Duct Care LLC,2024329710,1,Cleaning Services,2726 Watertown Ct,Henderson,Nevada,89052,,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 14:41:40
23,1st Response Towing Inc,The Tow Truck Company,2017306339,1,Automobile Towing,3975 W Hacienda AVE,Las Vegas,Nevada,89118,,ChIJ6SbCMnnGyIAR7nFSODVGjnY,The Tow Truck Company,"3975 W Hacienda Ave, Las Vegas, NV 89118, USA",https://thetowtruckco.com/?utm_source=omg-gbp&utm_medium=webclick,(702) 434-7175,Establishment,,2.7,558,OPERATIONAL,2026-08-24 14:41:41
24,2 Taurean Partners Corp.,The UPS Store 7311,2024331681,1,Mail/Postal Service Centers,2345 Via Inspirada,Henderson,Nevada,89044,,ChIJe95qMkrNyIARXfYTot9QVRE,The UPS Store,"2345 Via Inspirada Ste 100, Henderson, NV 89044, USA",https://locations.theupsstore.com/nv/henderson/2345-via-inspirada?utm_source=Yext&utm_medium=organic&utm_campaign=Listings,(702) 720-3006,Finance,"Finance, Store",4.3,143,OPERATIONAL,2026-08-24 14:41:41
25,2 White Rabbits LLC,2 White Rabbits LLC,2024329847,1,Miscellaneous,1714 Toltec Cir,Henderson,Nevada,89014,,ChIJYRftzkTQyIARsZgBKDHeXSw,1714 Toltec Cir,"1714 Toltec Cir, Henderson, NV 89014, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:41:42
26,200 PERCENT SPORTS INC.,200 PERCENT SPORTS INC.,2019309836,1,Non-Profit Registration,1584 BUFFALO BRUBAKER LN,HENDERSON,Nevada,89002,(702) 713-3765,ChIJJy0I04XQyIARWSHnwgwaM7U,200% Sports,"5901 E Russell Rd, Henderson, NV 89011, USA",,,Establishment,,0.0,0,CLOSED_PERMANENTLY,2026-08-24 14:41:42
27,"214 Brothers 3, Inc",Storming Crab Henderson,"2021317542, 2021317543",2,"Restaurant/Food Service, Liquor",573 N Stephanie St,Henderson,Nevada,89014,,ChIJ7bKHkqTRyIARPHupSZ2n_r0,Storming Crab,"573 N Stephanie St, Henderson, NV 89014, USA",https://www.stormingcrabhenderson.co/,(702) 547-2722,Bar,"Bar, Food, Restaurant",4.4,830,OPERATIONAL,2026-08-24 14:41:43
28,22 Warriors Foundation,Warriors Suicide Prevention Foundation,"2017306229, 2017305901",2,Non-Profit Registration,112 S Water St,Henderson,Nevada,89015,(253) 232-6681,ChIJl_-SfTDXyIARMUcHqWUBXcE,Safe harbor,"98 E Lake Mead Pkwy, Henderson, NV 89015, USA",,,Health,Health,0.0,0,OPERATIONAL,2026-08-24 14:41:43
29,"2312 N Green Valley Fee Owner, LLC",23Twelve,2025334336,1,Apartment House,2312 N Green Valley Pkwy,Henderson,Nevada,89014,,ChIJxXXaViPQyIARTsD5cS7N5OQ,23 Twelve Luxe Apartments,"2312 N Green Valley Pkwy, Henderson, NV 89014, USA",https://www.23twelveluxe.com/?utm_source=gmb&utm_medium=organic,(725) 999-9561,Real Estate Agency,Real Estate Agency,3.6,315,OPERATIONAL,2026-08-24 14:41:44
30,238 Consulting LLC,238 Consulting LLC,2025333829,1,Management/Marketing/Consulting,2808 Via Terra St,Henderson,Nevada,89074,,ChIJj3RjFMTPyIARnIRJaUzOKn0,2808 Via Terra St,"2808 Via Terra St, Henderson, NV 89074, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:41:44
31,"24 BLACK INDUSTRIES, LLC.",ABSOLUTE FLOOD RESPONSE,2013302326,1,Cleaning Services,4387 W SUNSET RD,LAS VEGAS,Nevada,89118,,ChIJGYBqdQ7GyIARsnv3SGz5IZo,AFR Construction,"4387 W Sunset Rd, Las Vegas, NV 89118, USA",https://www.gowithafr.com/?utm_source=google&utm_medium=organic&utm_campaign=gbpschedule,(702) 329-2172,General Contractor,General Contractor,4.8,130,OPERATIONAL,2026-08-24 14:41:45
32,24/7 Apollo Healthcare Inc.,24/7 Apollo Hospice & Palliative Care,2024329518,1,Medical Office,2850 W Horizon Ridge Pkwy,Henderson,Nevada,89052,(855) 844-2273,ChIJG56gvOd5T2wRnbp0r7JwcIA,Nevada Home Hospice & Palliative Care,"871 Coronado Center Dr Suite 200, Henderson, NV 89052, USA",https://nevadahomehospice.com/,,Health,Health,3.7,3,OPERATIONAL,2026-08-24 14:41:45
33,"24/7 MOBILE CAR WASH, INC.","24/7 MOBILE CAR WASH, INC.",2008300471,1,Miscellaneous,429 Donner Pass Dr,Henderson,Nevada,89014,,ChIJIwm-xgbRyIARrN80kbEe_Ps,Access Mobile Detailing,"967 Flapjack Dr, Henderson, NV 89014, USA",http://www.accessmobiledetailing.com/,(725) 910-9253,Car Wash,Car Wash,5.0,44,OPERATIONAL,2026-08-24 14:41:46
34,24/7 Supertech Locksmith LLC,24/7 Supertech Locksmith Services,2013300931,1,Locksmith/Safe Mechanic,8445 Bay Crest Dr,Las Vegas,Nevada,89128,,ChIJGUaEwZjFyIARyk6CmGDuGYQ,247 Locksmith 4U,"3620 E Flamingo Rd #2, Las Vegas, NV 89121, USA",http://247locksmith4ulv.com/,(725) 303-0655,Locksmith,Locksmith,4.8,561,OPERATIONAL,2026-08-24 14:41:47
35,"2600Hz, INC.","2600Hz, Inc.",2023321411,1,Public Utility Telecom,3575 Piedmont Rd NE,Atlanta,Georgia,30305,,ChIJ-TeLwWYP9YgRpTMJ8mW_XZQ,Piedmont Center North Building 15,"3575 Piedmont Rd NE, Atlanta, GA 30305, USA",,,Real Estate Agency,Real Estate Agency,4.7,22,OPERATIONAL,2026-08-24 14:41:47
36,27WON LLC,27WON,2020313634,1,Automotive,331 Sunpac Ct,Henderson,Nevada,89011,,ChIJSaZEO7iolVQRc-9v03cDgt8,27WON Performance,"331 Sunpac Ct, Henderson, NV 89011, USA",https://www.27won.com/,(571) 271-0271,Car Repair,"Car Repair, Store",4.9,91,OPERATIONAL,2026-08-24 14:41:48
37,28Forever L.L.C.,28Forever Cndl Co.,2024330507,1,Miscellaneous,1102 Elation Ln,Henderson,Nevada,89002,,ChIJMZnbtgzVyIARdT83idWX_w8,1102 Elation Ln,"1102 Elation Ln, Henderson, NV 89002, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:41:48
38,"2LU Cakes, LLC",Nothing Bundt Cakes,2022318856,1,Restaurant/Food Service,605 Mall Ring Cir,Henderson,Nevada,89014,,ChIJsaJHIDbRyIAR4WZWtGazM3c,Nothing Bundt Cakes,"605 Mall Ring Cir #170, Henderson, NV 89014, USA",https://www.nothingbundtcakes.com/find-a-bakery/nv/henderson/bakery-445.html?utm_source=gbplisting&utm_medium=organic&utm_campaign=445_website_link,(702) 800-8800,Bakery,"Bakery, Food, Store",4.4,89,OPERATIONAL,2026-08-24 14:41:49
39,2PUFFSUP,2PUFFSUP,2021317637,1,Management/Marketing/Consulting,12 Bishopsgate Ter,Henderson,Nevada,89074,(702) 505-2755,ChIJrYJ6ySjOyIAR_NRysg3uIhk,12 Bishopsgate Terrace,"12 Bishopsgate Terrace, Henderson, NV 89074, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:41:49
40,3 AMIGOS LLV,Sonrisa Grill,"2008301387, 2008301386",2,"Restaurant/Food Service, Liquor",30 Via Brianza,Henderson,Nevada,89011,,ChIJ1xzveZPXyIARPvXXjEFRB8A,Sonrisa Grill,"30 Via Brianza #100, Henderson, NV 89011, USA",https://sonrisagrill.com/?utm_source=google,(702) 568-6870,Bar,"Bar, Food, Restaurant",4.3,1505,OPERATIONAL,2026-08-24 14:41:50
41,3 BROS GARAGE LLC,ACE COMPLETE AUTO REPAIR,2015303808,1,Automotive,1010 N Stephanie St,Henderson,Nevada,89014,,ChIJRRslXYjQyIARUffzuM3dt9E,Ace Complete Auto Repair,"1010 N Stephanie St a6, Henderson, NV 89014, USA",https://m.facebook.com/acecompleteautorepair/,(702) 565-5223,Car Repair,Car Repair,4.9,40,OPERATIONAL,2026-08-24 14:41:50
42,3 Brothers Restaurants - Nevada LLC,Del Taco #1432,"2023322228, 2023322231, 2023322232, 2023322233",4,Restaurant/Food Service,898 S Boulder Hwy,Henderson,Nevada,89015,,ChIJieT77CfUyIARA7Ljf42Yagk,Del Taco,"898 S Boulder Hwy, Henderson, NV 89015, USA",https://locations.deltaco.com/us/nv/henderson/898-s-boulder-hwy?utm_source=G&utm_medium=local&utm_campaign=google-local,(702) 565-9990,Food,"Food, Meal Takeaway, Restaurant",4.1,961,OPERATIONAL,2026-08-24 14:41:51
43,"3 Dogs, LLC",Z Cages,2021317567,1,Miscellaneous,930 Wigwam Pkwy,Henderson,Nevada,89014,(702) 906-2227,ChIJ1xdODxXRyIARdyp0Z67Yy2Q,"Z Cages - Batting, Apparel & Training","930 Wigwam Pkwy, Henderson, NV 89014, USA",http://www.zcages.com/,(702) 906-2227,Establishment,,4.7,210,OPERATIONAL,2026-08-24 14:41:51
44,"3 Sigma Financial, Inc",Wedbush Securities,2025332359,1,Management/Marketing/Consulting,2850 W Horizon Ridge Pkwy,Henderson,Nevada,89052,,ChIJtdRhR1fQyIAR1edWRKk54Ps,West Ridge Advisors,"1528 W Warm Springs Rd Ste 120, Henderson, NV 89014, USA",http://westridgeadvisors.com/,(702) 547-9483,Finance,Finance,0.0,0,OPERATIONAL,2026-08-24 14:41:52
45,"316, LLC","316, LLC",2008303505,1,Management/Marketing/Consulting,1151 Phillip Island St,Henderson,Nevada,89052,,ChIJyQ1mT-TNyIARfvEaIkZYBbs,1151 Phillip Island St,"1151 Phillip Island St, Henderson, NV 89052, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:41:52
46,33.Black LLC,NV Power Washing,2025332386,1,Cleaning Services,2485 Padulle Pl,Henderson,Nevada,89044,,ChIJVVXFbtXNyIAR09urtUkFb_A,NV Power Washing,"3459 St Rose Pkwy, Henderson, NV 89052, USA",https://nvpowerwashing.com/contact/,(702) 302-4946,Establishment,,0.0,0,OPERATIONAL,2026-08-24 14:41:53
47,3480 Hacienda Partners LLC,Evergreen Edibles,2016301481,1,Inter-Jurisdictional Business,3480 W Hacienda Ave,Las Vegas,Nevada,89118,,ChIJwXBmkh3EyIARE7q6pxbWzl4,Cultivate,"3615 Spring Mountain Rd, Las Vegas, NV 89102, USA",https://cultivatelv.com/location/spring-mountain/,(702) 778-1173,Store,Store,4.7,2965,OPERATIONAL,2026-08-24 14:41:53
48,"38301, Inc.",7-Eleven Store #38301A,"2020314076, 2020314077, 2020314078",3,"Convenience Store, Gasoline, Diesel, or Motor Vehicle Fuel Sales, Liquor",3005 N Boulder Hwy,Henderson,Nevada,89011,(972) 828-6722,ChIJC5Y1BH7RyIAR_0v2Xqz9uu8,7-Eleven,"3005 Boulder Hwy, Henderson, NV 89011, USA",https://www.7-eleven.com/locations/nv/henderson/3005-boulder-hwy-38301?utm_source=G&utm_medium=local&utm_campaign=google-local,(702) 490-7006,Cafe,"Cafe, Convenience Store, Food, Liquor Store, Restaurant, Store",2.7,46,OPERATIONAL,2026-08-24 14:41:54
49,3AP INC,Nature's Chemistry,2017304768,1,Inter-Jurisdictional Business,3020 N Nellis BLVD,Las Vegas,Nevada,89115,,ChIJI8xGnBvdyIARskIelP5P5h4,Nature's Chemistry,"3020 N Nellis Blvd, Las Vegas, NV 89115, USA",https://natureschemistrynv.com/,(702) 840-6990,Health,Health,4.4,22,OPERATIONAL,2026-08-24 14:41:55
50,"3B Media, Inc.","3B Media, Inc.",2022320483,1,Management/Marketing/Consulting,871 Coronado Center Dr,Henderson,Nevada,89052,,ChIJYdcGsq4sDogRM4R143GIb84,3B Media Inc.,"401 N Michigan Ave, Chicago, IL 60611, USA",http://www.3bmedia.com/,(312) 242-1793,Establishment,,0.0,0,OPERATIONAL,2026-08-24 14:41:55
51,"3BG, LLC",Blvd & Main,2026334772,1,E-Commerce and Online Retailer,2528 Silver Beach Dr,Henderson,Nevada,89052,,ChIJJa-sO3nPyIARi_cSac5WJ3E,BLVD & MAIN,"2528 Silver Beach Dr, Henderson, NV 89052, USA",https://www.blvdandmain.com/,,Clothing Store,"Clothing Store, Store",0.0,0,CLOSED_PERMANENTLY,2026-08-24 14:41:56
52,"3D Retro, Inc.","3D Retro, Inc.",2023323188,1,Distribution Center,12600 Chaparral Rd,Henderson,Nevada,89044,,ChIJyyu-XHbHyIARdVUeiayiUxs,3D Retro,"3999 W Spring Mountain Rd, Las Vegas, NV 89102, USA",https://3dretro.com/,(702) 780-4966,Store,Store,3.6,55,OPERATIONAL,2026-08-24 14:41:56
53,"3E, LLC","3E, LLC",2016301814,1,Inter-Jurisdictional Business,10161 Park Run Dr,Las Vegas,Nevada,89145,(330) 316-5775,ChIJP7f-IqW_yIARYncCtmLhbd0,3D Economic Development Consortium LLC,"10161 W Park Run Dr #150, Las Vegas, NV 89145, USA",http://3deconomicdevelopmentconsortium.com/,(702) 966-2437,Finance,Finance,0.0,0,OPERATIONAL,2026-08-24 14:41:57
54,3ROTR Kitchen Rentals LLC,Kitchen Haulers,2023321953,1,Mobile Food Vendor,949 Empire Mesa Way,Henderson,Nevada,89011,,ChIJj4YxqhLRyIARBZfXyWn2ecc,The Food Factory,"949 Empire Mesa Way, Henderson, NV 89011, USA",http://www.thefoodfactorylv.com/,(702) 581-6361,Food,Food,5.0,2,OPERATIONAL,2026-08-24 14:41:57
55,3SD LLC,Cobrinha Henderson,2023329176,1,Personal Services,10870 S Eastern Ave,Henderson,Nevada,89052,,ChIJceVbT2jRyIARgeAh-PLbAk0,Cobrinha Henderson,"10870 S Eastern Ave Ste 104, Henderson, NV 89052, USA",http://cobrinhahenderson.com/,(725) 735-5162,Health,Health,4.3,12,OPERATIONAL,2026-08-24 14:41:57
56,"3rd Eye Tattoo, LLC",3rd Eye tattoo,2022320307,1,Personal Services,1520 W Sunset Rd,Henderson,Nevada,89014,,ChIJ76QxIwDFyIARRqe4MzeRQzs,3rd Eye Tattoo,"1520 W Sunset Rd ste 129, Las Vegas, NV 89119, USA",,,Establishment,,3.0,2,OPERATIONAL,2026-08-24 14:41:58
57,3rd Reef Divers LLC,3rd Reef Divers,2019311625,1,Miscellaneous,80 N Pecos Rd,Henderson,Nevada,89074,,ChIJE9QTWO3PyIARemhs4fspEi4,3rd Reef Divers,"80 N Pecos Rd Ste c, Henderson, NV 89074, USA",https://www.3rdreefdivers.com/,(725) 735-2000,School,"School, Store, Travel Agency",4.9,133,OPERATIONAL,2026-08-24 14:41:58
58,4 Most Services LLC,4 Most Services LLC,2026335192,1,Handyman,941 Via Stellato St,Henderson,Nevada,89011,,ChIJP5v75RfXyIARFhHwPojBRvU,941 Via Stellato St,"941 Via Stellato St, Henderson, NV 89011, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:41:59
59,42 Creations LLC,42 Creations LLC,2025334081,1,Management/Marketing/Consulting,70 Bella Lago Ave,Henderson,Nevada,89011,,ChIJhfkU4fLXyIARFFwUUwzdEZo,70 Bella Lago Ave,"70 Bella Lago Ave, Henderson, NV 89011, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:41:59
60,"420 Bail Bonds, Inc","420 Bail Bonds, Inc",2022319722,1,Bail Bond Broker,726 S Casino Center Blvd,Las Vegas,Nevada,89101,,ChIJW4WHR4_DyIAR14OjiQuBETE,Bail Bonds 4 Less 24/7 Bail Bondsman Las Vegas,"300 W Utah Ave Ste 207, Las Vegas, NV 89102, USA",https://www.bailbonds4less.vegas/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,(702) 386-2663,Establishment,,5.0,402,OPERATIONAL,2026-08-24 14:42:00
61,4D Companies LLC,Roadhouse,2022320892,1,Miscellaneous,2100 N Boulder Hwy,Henderson,Nevada,89011,,ChIJV9dPCKnRyIARloT7Wk2T-KE,Texas Roadhouse,"1421 W Sunset Rd, Henderson, NV 89014, USA",https://www.texasroadhouse.com/locations/henderson?utm_source=listing&utm_medium=search,(702) 846-5970,Food,"Food, Restaurant",4.4,2832,OPERATIONAL,2026-08-24 14:42:00
62,4LEAF CONSULTING LLC,4LEAF CONSULTING LLC,2018308641,1,Engineering Firm,125 E Reno Ave,Las Vegas,Nevada,89119,,ChIJv4oRxsnFyIARZbVoBypASMY,"4LEAF, Inc.","157 E Warm Springs Rd, Las Vegas, NV 89119, USA",http://www.4leafinc.com/,(702) 726-4140,General Contractor,General Contractor,1.0,1,OPERATIONAL,2026-08-24 14:42:01
63,"4Maja, LLC",7-Eleven Store #38394A,"2021315689, 2021315690, 2021315691",3,"Convenience Store, Gasoline, Diesel, or Motor Vehicle Fuel Sales, Liquor",10540 S Maryland Pkwy,Henderson,Nevada,89052,,ChIJKVOAQ2POyIARS12CssLLkFo,7-Eleven,"10540 S Maryland Pkwy, Henderson, NV 89052, USA",https://www.7-eleven.com/locations/nv/henderson/10540-s-maryland-pkwy-38394?utm_source=G&utm_medium=local&utm_campaign=google-local,(702) 513-4266,Cafe,"Cafe, Convenience Store, Food, Liquor Store, Restaurant, Store",3.6,35,OPERATIONAL,2026-08-24 14:42:02
64,4corners Streetkitchen LLC,4corners Streetkitchen,2025333687,1,Mobile Food Vendor,2987 N Las Vegas Blvd,North Las Vegas,Nevada,89030,,ChIJt2zeUNjDyIAR63lY52kKdr8,4D Commissary #5 - North Las Vegas,"2987 Las Vegas Blvd N, North Las Vegas, NV 89030, USA",http://www.4dcommissary.com/,(877) 838-3224,Food,"Food, Parking, Storage",4.0,25,OPERATIONAL,2026-08-24 14:42:02
65,"4me Wellness, LLC",4me Wellness,2026336122,1,Retail Product Sales,1350 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,ChIJ5-ZCanbRyIAR8amWceh8NYg,Adiamo Apartments,"1350 W Horizon Ridge Pkwy, Henderson, NV 89012, USA",https://ovationco.com/property/adiamo/?utm_source=Google+Business&utm_medium=Adiamo+Google+Business+Listing&utm_campaign=Website+Button,(725) 307-4523,Real Estate Agency,Real Estate Agency,4.2,118,OPERATIONAL,2026-08-24 14:42:03
66,"5 Diamond Diva, LLC","5 Diamond Diva, LLC",2022320970,1,Miscellaneous,268 Quail Ranch Dr,Henderson,Nevada,89015,,ChIJZdrZsE3RyIARIRAVPEtTm9w,268 Quail Ranch Dr,"268 Quail Ranch Dr, Henderson, NV 89015, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 14:42:03
