LicenseNumber,EntityName,DBA,BusinessLocation,City,State,ZipCode,BusinessPhone,OriginalIssueDate,ExpirationDate,LicenseType,LicenseSub-Type,BusinessDescription,PrimaryJurisdiction,CityofHenderson,CityofLasVegas,CityofNorthLasVegas,ClarkCounty,BillingAddress1,BillingAddress2,BillingCity,BillingState/Province,BillingZipCode
2021317354,Apollo Coin Corp.,Nevada Gaming Corp,75 S Stephanie St,Henderson,Nevada,89012,,12/19/2022,09/30/2026,Gaming,Gaming,Slot Route Operator DBAT The Lodge Lounge,City of Henderson,Yes,No,No,No,3399 Durango Dr,105,Las Vegas,NV,89117
2022319848,"Sartini Gaming, LLC","Sartini Gaming, LLC",485 E Bruner Ave,Henderson,Nevada,89044,,10/04/2022,09/30/2026,Gaming,Gaming,Slot Route Operator DBAT 7-Eleven #41125A,City of Henderson,Yes,No,No,No,6595 S Jones Blvd,,Las Vegas,NV,89118
2016300526,United Coin Machine Co.,Century Gaming Technologies,302 S Water St,Henderson,Nevada,89015,,03/02/2016,09/30/2026,Gaming,Gaming,Restricted Gaming - Limited Gaming - Century Gaming Technologies Doing Business At 7-Eleven #13700F,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2014302797,United Coin Machine Co.,Century Gaming Technologies,1680 W Sunset Rd,Henderson,Nevada,89014,,10/01/2014,09/30/2026,Gaming,Gaming,Restricted Gaming - Century Gaming Technologies Doing Business At 7-Eleven Store #39602,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2003304290,"Speedee Mart, Inc.",Speedee Mart #111,11061 S Eastern Ave,Henderson,Nevada,89052,,09/25/2003,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,1188 Wigwam Pkwy,,Henderson,NV,89074
2011302183,NP Gold Rush LLC,Wildfire Sunset,1195 W Sunset Rd,Henderson,Nevada,89014,,07/26/2011,09/30/2026,Gaming,Gaming,NON-RESTRICTED GAMING,City of Henderson,Yes,No,No,No,PO BOX 80868,,LAS VEGAS,NV,89180
2011302185,NP LML LLC,Wildfire Casino Lake Mead,846 E Lake Mead Pkwy,Henderson,Nevada,89015,,07/26/2011,09/30/2026,Gaming,Gaming,NON-RESTRICTED GAMING,City of Henderson,Yes,No,No,No,PO BOX 80868,,LAS VEGAS,NV,89180
2017306246,United Coin Machine Co.,Century Gaming Technologies,3995 E Sunset Rd,Las Vegas,Nevada,89120,,01/17/2018,09/30/2026,Gaming,Gaming,Four stores machines 7-Eleven Store #25156D,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2011302186,NP Sunset LLC,Sunset Station Hotel & Casino,1301 W Sunset Rd,Henderson,Nevada,89014,,07/26/2011,09/30/2026,Gaming,Gaming,Non-Restricted Gaming,City of Henderson,Yes,No,No,No,PO Box 81408,,Las Vegas,NV,89180
2021315769,LISA/CARRISON LTD.,PUTTER'S BAR & GRILL #13,646 E Horizon Dr,Henderson,Nevada,89015,,06/08/2021,09/30/2026,Gaming,Gaming,RESTICTED GAMING,City of Henderson,Yes,No,No,No,3755 Breakthrough Way,250,Las Vegas,NV,89135
2021317168,United Coin Machine Co.,Century Gaming Technologies,10540 S Maryland Pkwy,Henderson,Nevada,89052,,10/06/2021,09/30/2026,Gaming,Gaming,Slot Route Operator for -ELEVEN #38394A,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
1800039974,United Coin Machine Co.,Century Gaming Technologies,1324 N Boulder Hwy,Henderson,Nevada,89011,,04/01/2017,09/30/2026,Gaming,Gaming,Century Gaming Technologies Doing Business At Circle K #1309,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
1800039988,PECOS WIGWAM RESTAURANT CORP.,RAE'S RESTAURANT & LOUNGE,2531 WIGWAM PKWY,HENDERSON,Nevada,89074,,04/01/2017,09/30/2026,Gaming,Gaming,Restricted Gaming with 15 machines.,City of Henderson,Yes,No,No,No,1 HUGHES CENTER DR,UNIT 803,LAS VEGAS,NV,89169
1800038558,IGT,IGT,6355 S BUFFALO DR,LAS VEGAS,Nevada,89113,,04/01/2017,09/30/2026,Gaming,Gaming,Slot Route Operator,City of Henderson,Yes,No,No,No,9295 PROTOTYPE,,RENO,NV,89521
1800039032,United Coin Machine Co.,Century Gaming Technologies,600 Pilot Rd,Las Vegas,Nevada,89119,,04/01/2017,09/30/2026,Gaming,Gaming,Slot Route Operator,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2018309106,United Coin Machine Co.,Century Gaming Technologies,710 Center St,Henderson,Nevada,89015,,12/20/2018,09/30/2026,Gaming,Gaming,Space Lease Agreement - 4 machines dbat 7-Eleven Stores 16186,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2011302187,NP Magic Star LLC,Wildfire Casino - Boulder,2000 S Boulder Hwy,Henderson,Nevada,89002,,07/26/2011,09/30/2026,Gaming,Gaming,LIMITED GAMING,City of Henderson,Yes,No,No,No,PO BOX 80868,,LAS VEGAS,NV,89180
2011302204,"Station GVR Acquisition, LLC",Green Valley Ranch Resort Spa Casino,2300 Paseo Verde Pkwy,Henderson,Nevada,89052,,07/26/2011,09/30/2026,Gaming,Gaming,"Non-Restricted Gaming - 2409 Slots, 63 Live Games, 2 Race Book, 1 Sports Pool.",City of Henderson,Yes,No,No,No,PO Box 80538,,Las Vegas,NV,89180
2000055796,United Coin Machine Co.,Century Gaming Technologies,9300 S Eastern Ave,Las Vegas,Nevada,89123,,06/12/2000,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
1800039973,United Coin Machine Co.,Century Gaming Technologies,695 N Valle Verde Dr,Henderson,Nevada,89014,,04/01/2017,09/30/2026,Gaming,Gaming,Century Gaming Technologies Doing Business At Circle K #8655,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
1800040015,William Hill Nevada I,William Hill Race & Sports Book,1741 N Boulder Hwy,Henderson,Nevada,89011,,07/01/2017,09/30/2026,Gaming,Gaming,William Hill is a licensed operator of race and sports books,City of Henderson,Yes,No,No,No,6325 S Rainbow Blvd,100,Las Vegas,NV,89118
2010300214,"LINDO MICHOACAN LA LOMA, LLC",LINDO MICHOACAN LA LOMA,645 Carnegie St,Henderson,Nevada,89052,,01/26/2010,09/30/2026,Gaming,Gaming,RESTRICTED GAMING - MEXICAN RESTAURANT WITH BAR AND 15 GAMING MACHINES,City of Henderson,Yes,No,No,No,645 CARNEGIE ST,,HENDERSON,NV,89052
2007301185,"O.R.B. Restaurant & Tavern, LLC",Fireside Restaurant & Tavern,1785 E Cactus Ave,Henderson,Nevada,89183,,03/22/2007,09/30/2026,Gaming,Gaming,Restricted Gaming - Tavern with 15 Slot machines.,City of Henderson,Yes,No,No,No,1785 E. Cactus Ave,,Las Vegas,NV,89183
2001300073,"J & F Enterprises, Inc.",Timbers V,1450 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,08/02/2001,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,6430 Arville ST,,Las Vegas,NV,89118
2010300492,"B&J Bars, LLC",Hammer's Grill & Bar,771 E Horizon Dr,Henderson,Nevada,89015,,02/18/2010,09/30/2026,Gaming,Gaming,RESTRICTED GAMING - 15 MACHINES (PARTICIPATION AGREEMENT W/UNITED COIN),City of Henderson,Yes,No,No,No,771 E Horizon Dr,104,Henderson,NV,89015
2019311962,United Coin Machine Co.,Century Gaming Technologies,2490 W Horizon Ridge Pkwy,Henderson,Nevada,89052,,02/24/2020,09/30/2026,Gaming,Gaming,Converted from space lease to participation agreement as of 01/23/2020 - 6 machines DB AT 7-Eleven #32780 A2257.,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2018309556,"Miz Lola's Spirits & Gaming 9, LLC",Red Barrel,11261 S Eastern Ave,Henderson,Nevada,89052,,05/23/2019,09/30/2026,Gaming,Gaming,Restaurant with bar and 15 slot machines selling tobacco and gift and novelty items,City of Henderson,Yes,No,No,No,2950 E Sunset Rd,115,Las Vegas,NV,89120
2020313787,"Speedee Mart, Inc.",Speedee Mart #128,880 W Sunset Rd,Henderson,Nevada,89011,,06/11/2020,09/30/2026,Gaming,Gaming,7 slots at convenience store,City of Henderson,Yes,No,No,No,1188 Wigwam Pkwy,,Henderson,NV,89074
2005302913,"Balboa Beach Pizza, LLC",Balboa Beach Pizza,2265 Village Walk Dr,Henderson,Nevada,89052,,06/27/2005,09/30/2026,Gaming,Gaming,RESTRICTED GAMING,City of Henderson,Yes,No,No,No,6900 Westcliff Dr,500,Las Vegas,NV,89145
2004303139,United Coin Machine Co.,Century Gaming Technologies,697 N Valle Verde Dr,Henderson,Nevada,89014,,07/01/2004,09/30/2026,Gaming,Gaming,Limited Gaming - Century Gaming Technologies Doing Business at Casino Valle Verde,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2007304480,"Sunset GV, LLC",Wildfire Casino and Lanes,4451 E Sunset Rd,Henderson,Nevada,89014,,11/06/2007,09/30/2026,Gaming,Gaming,LIMITED GAMING,City of Henderson,Yes,No,No,No,PO Box 80868,,Las Vegas,NV,89180
2018306671,William Hill Nevada I,William Hill Race & Sports Book,444 W Sunset Rd,Henderson,Nevada,89011,,01/11/2018,09/30/2026,Gaming,Gaming,Licensed operator of race book and sports pool,City of Henderson,Yes,No,No,No,6325 S Rainbow Blvd,100,Las Vegas,NV,89118
2017305468,"Speedee Mart, Inc.",Speedee Mart #124,3470 Volunteer Blvd,Henderson,Nevada,89044,,05/31/2018,09/30/2026,Gaming,Gaming,"Convenience store with restricted gaming; beer, wine, spirit-based off-sale liquor sales; car wash facility/ gasoline sales, tobacco sales",City of Henderson,Yes,No,No,No,1188 Wigwam Pkwy,,Henderson,NV,89074
2013302434,"GRAJ, Inc.",7-Eleven Store #33677B,835 Seven Hills Dr,Henderson,Nevada,89052,,08/21/2013,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2014302796,United Coin Machine Co.,Century Gaming Technologies,971 S Boulder Hwy,Henderson,Nevada,89015,,10/01/2014,09/30/2026,Gaming,Gaming,Restricted Gaming - Century Gaming Technologies Doing Business at 7-ELEVEN STORE #39603,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
1991008680,"Sunset Coin, Inc.",Sunset Coin,5085 W Sahara Ave,Las Vegas,Nevada,89102,,02/21/1991,09/30/2026,Gaming,Gaming,Slot Route Operator,City of Henderson,Yes,No,No,No,50 S Jones Blvd,204,Las Vegas,NV,89107
1800039033,United Coin Machine Co.,Century Gaming Technologies,84 W Pacific Ave,Henderson,Nevada,89015,,04/01/2017,09/30/2026,Gaming,Gaming,Restricted Gaming - Century Gaming Technologies Doing Business at 7-Eleven #29636,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
1800040027,"Town Center Amusements, Inc., A Limited Liability Company",Barley's Casino & Brewing Company,4500 E Sunset Rd,Henderson,Nevada,89014,,04/01/2017,09/30/2026,Gaming,Gaming,Limited Gaming,City of Henderson,Yes,No,No,No,PO Box 80868,,Las Vegas,NV,89180
1800040059,United Coin Machine Co.,Century Gaming Technologies,100 S Boulder Hwy,Henderson,Nevada,89015,,04/01/2017,09/30/2026,Gaming,Gaming,Restricted Gaming - Century Gaming Technologies Doing Business at Circle K #5394,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2001001773,"Rebel Slots, Inc.","REBEL SLOTS, INC.",10650 W Charleston Blvd,Las Vegas,Nevada,89135,,02/07/2001,09/30/2026,Gaming,Gaming,Slot Route Operator,City of Henderson,Yes,No,No,No,10650 W Charleston Blvd,100,Las Vegas,NV,89135
1999046515,"Speedee Mart, Inc.",Speedee Mart #103,75 S Gibson Rd,Henderson,Nevada,89012,,06/01/1999,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,1188 Wigwam Pkwy,,Henderson,NV,89074
2007304086,"SSM Gaming, LLC","SSM Gaming, LLC",3755 Breakthrough Way,Las Vegas,Nevada,89135,,10/04/2007,09/30/2026,Gaming,Gaming,Slot Route Operator,City of Henderson,Yes,No,No,No,3755 Breakthrough Way,250,Las Vegas,NV,89135
2006304735,"Greens Cafe, LLC",The Greens Cafe,2241 N Green Valley Pkwy,Henderson,Nevada,89014,,01/12/2006,09/30/2026,Gaming,Gaming,Non-Restricted Gaming (Grandfathered),City of Henderson,Yes,No,No,No,PO BOX 80868,,LAS VEGAS,NV,89180
2006305339,United Coin Machine Co.,Century Gaming Technologies,1381 W Warm Springs Rd,Henderson,Nevada,89014,,12/27/2006,09/30/2026,Gaming,Gaming,Restricted Gaming - Century Gaming Technologies Doing Business at Circle K #3360,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2013302231,SC SP 4 LLC,Wildfire Anthem,2551 Anthem Village Dr,Henderson,Nevada,89052,,08/01/2013,09/30/2026,Gaming,Gaming,RESTRICTED GAMING,City of Henderson,Yes,No,No,No,PO BOX 80868,,LAS VEGAS,NV,89180
2018307275,Johnny Mac's Restaurant LLC,Johnny Mac's,842 S Boulder Hwy,Henderson,Nevada,89015,,04/03/2018,09/30/2026,Gaming,Gaming,Gaming (15 machines),City of Henderson,Yes,No,No,No,842 S Boulder Hwy,,Henderson,NV,89015
2019310222,Zakis LLC,Sunset Tavern,886 S Boulder Hwy,Henderson,Nevada,89015,,10/08/2019,09/30/2026,Gaming,Gaming,15 Slot Machines,City of Henderson,Yes,No,No,No,886 S Boulder Hwy,,Henderson,NV,89015
2015300547,United Coin Machine Co.,Century Gaming Technologies,850 E Horizon Dr,Henderson,Nevada,89015,,03/04/2015,09/30/2026,Gaming,Gaming,Restricted Gaming - Century Gaming Technologies Doing Business at 7-Eleven Store #29663D,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2004304765,William Hill Nevada I,William Hill Race & Sports Book,725 S Racetrack Rd,Henderson,Nevada,89015,,10/18/2004,09/30/2026,Gaming,Gaming,Operation of Race Book and Sports Pool inside Casino,City of Henderson,Yes,No,No,No,6325 S Rainbow Blvd,100,Las Vegas,NV,89118
2002305295,"Melino, LTD.",Ventano,191 S Arroyo Grande Blvd,Henderson,Nevada,89012,,12/26/2002,09/30/2026,Gaming,Gaming,"Italian restaurant and oyster bar, with separate bar area.",City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2002302133,"Speedee Mart, Inc.",Speedee Mart #106,1500 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,05/23/2002,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,1188 Wigwam Pkwy,,Henderson,NV,89074
2002302350,"Speedee Mart, Inc.",Speedee Mart #107,401 E Horizon Ridge Pkwy,Henderson,Nevada,89002,,06/06/2002,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,1188 Wigwam Pkwy,,Henderson,NV,89074
2021318072,United Coin Machine Co.,Century Gaming Technologies,589 W Pacific Ave,Henderson,Nevada,89015,,12/09/2021,09/30/2026,Gaming,Gaming,Slot Route Operator - 7-Eleven Store #24823D,City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2019312034,"SR & CC Ventures, Inc.",Timbers Bar and Grill (Timbers XXI),2625 St Rose Pkwy,Henderson,Nevada,89052,,12/16/2019,09/30/2026,Gaming,Gaming,15 Slot machines,City of Henderson,Yes,No,No,No,6430 Arville St,,Las Vegas,NV,89118
2020314079,"38301, Inc.",7-Eleven Store #38301A,3005 N Boulder Hwy,Henderson,Nevada,89011,,08/23/2021,09/30/2026,Gaming,Gaming,"Convenience store, with tobacco sales, fuel sales (gas station), beer/wine/spirit-based products off-sales, and restricted gaming. 5 machines",City of Henderson,Yes,No,No,No,600 Pilot Rd,E,Las Vegas,NV,89119
2018308123,"Best Bet Products, Inc.","Best Bet Products, Inc.",2180 E Calvada Blvd,Pahrump,Nevada,89048,,09/19/2018,09/30/2026,Gaming,Gaming,"Slot Route Operator to include collections, maintenance, systems, and space leasing of gmaing devices in the City of Henderson.",City of Henderson,Yes,No,No,No,PO Box 5889,,Pahrump,NV,89041
2013303075,"LVGV, LLC",The M Resort Spa and Casino,12300 S Las Vegas Blvd,Henderson,Nevada,89044,,10/31/2013,09/30/2026,Gaming,Gaming,Non-Restricted Gaming,City of Henderson,Yes,No,No,No,12300 S Las Vegas Blvd,,Henderson,NV,89044
2017305102,JETT Gaming LLC,Terrible's Gaming,2910 Bicentennial Pkwy,Henderson,Nevada,89044,,08/28/2017,09/30/2026,Gaming,Gaming,Additional Slot Route Operator for Restricted Gaming @ Albertson's #3207,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2017305104,JETT Gaming LLC,Terrible's Gaming,575 College Dr,Henderson,Nevada,89015,,08/28/2017,09/30/2026,Gaming,Gaming,Additional Slot Route Operator for Restricted Gaming @ Albertson's #3205,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2017305108,JETT Gaming LLC,Terrible's Gaming,2667 Windmill Pkwy,Henderson,Nevada,89074,,09/21/2017,09/30/2026,Gaming,Gaming,Additional Slot Route Operator for Restricted Gaming @ Vons #2511,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2003303159,Northumberland LMG Corporation,Skyline Casino,1741 N Boulder Hwy,Henderson,Nevada,89011,,07/15/2003,09/30/2026,Gaming,Gaming,NON-RESTRICTED GAMING,City of Henderson,Yes,No,No,No,1741 N Boulder Hwy,,Henderson,NV,89015
2020315283,"Joes Place 1, LLC",Joe's Place,375 N Gibson Rd,Henderson,Nevada,89014,,03/29/2021,09/30/2026,Gaming,Gaming,15 SLOT MACHINES IN THE BAR,City of Henderson,Yes,No,No,No,762 ROMANO LN,,HENDERSON,NV,89012
2019310402,Ritchie McNeely's LLC,The Oak Room,2235 Village Walk Dr,Henderson,Nevada,89052,(702) 855-3816,03/19/2019,09/30/2026,Gaming,Gaming,Provide 15 gaming devices as an amenity,City of Henderson,Yes,No,No,No,7120 Rafael Ridge Way,,Las Vegas,NV,89119
2012300441,JETT Gaming LLC,Terrible's Gaming,5195 S Las Vegas Blvd,Las Vegas,Nevada,89119,,02/22/2012,09/30/2026,Gaming,Gaming,Slot Route Operator,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300442,JETT Gaming LLC,Terrible's Gaming,4036 E Sunset Rd,Henderson,Nevada,89014,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #159,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300445,JETT Gaming LLC,Terrible's Gaming,1101 W Sunset Rd,Henderson,Nevada,89014,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #174,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300446,JETT Gaming LLC,Terrible's Gaming,2601 Wigwam Pkwy,Henderson,Nevada,89074,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #191,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300447,JETT Gaming LLC,Terrible's Gaming,201 N Pecos Rd,Henderson,Nevada,89074,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #212,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300449,JETT Gaming LLC,Terrible's Gaming,4190 E Sunset Rd,Henderson,Nevada,89014,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #226,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300450,JETT Gaming LLC,Terrible's Gaming,220 W Sunset Rd,Henderson,Nevada,89011,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #235,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300453,JETT Gaming LLC,Terrible's Gaming,1100 E Lake Mead Pkwy,Henderson,Nevada,89015,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #277,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300443,JETT Gaming LLC,Terrible's Gaming,300 N Boulder Hwy,Henderson,Nevada,89015,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #163,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2012300444,JETT Gaming LLC,Terrible's Gaming,599 W Lake Mead Pkwy,Henderson,Nevada,89015,,02/22/2012,09/30/2026,Gaming,Gaming,Jett Gaming LLC Doing Business at Terrible's #170,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2014302995,WFTLV04 LLC,Wahoo's Fish Taco,76 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,10/21/2014,09/30/2026,Gaming,Gaming,Restricted Gaming,City of Henderson,Yes,No,No,No,3217 Elk Clover St,,Las Vegas,NV,89135
2017305106,JETT Gaming LLC,Terrible's Gaming,45 E Horizon Ridge Pkwy,Henderson,Nevada,89002,,08/28/2017,09/30/2026,Gaming,Gaming,Additional Slot Route Operator for Restricted Gaming @ Vons #2615,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2017305769,JETT Gaming LLC,Terrible's Gaming,115 N Stephanie St,Henderson,Nevada,89074,,09/07/2017,09/30/2026,Gaming,Gaming,Additional Slot Route location at Terrible's #330,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2017305103,JETT Gaming LLC,Terrible's Gaming,190 N Boulder Hwy,Henderson,Nevada,89015,,08/28/2017,09/30/2026,Gaming,Gaming,Additional Slot Route Operator for Restricted Gaming @ Albertson's #3206,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2021317549,JETT Gaming LLC,Terrible's Gaming,1420 Paseo Verde Pkwy,Henderson,Nevada,89012,,06/27/2022,09/30/2026,Gaming,Gaming,Slot Route Operator for Terrible's #429,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2009300324,"WILLDEN & WILLDEN, INC.",AMERICA'S MART,1797 E Cactus Ave,Henderson,Nevada,89183,(702) 307-7100,01/28/2009,09/30/2026,Gaming,Gaming,RESTRICTED GAMING - 7 SLOTS,City of Henderson,Yes,No,No,No,1354 Rossini Cir,,Henderson,NV,89052
2013301175,"The Giuseppe Team, LLC",Giuseppe's Italian Grille,2630 W Horizon Ridge Pkwy,Henderson,Nevada,89052,,04/18/2013,09/30/2026,Gaming,Gaming,15 Slot Machines,City of Henderson,Yes,No,No,No,2630 W Horizon Ridge Pkwy,,Henderson,NV,89052
2017300360,PKWY Marks LLC,PKWY Tavern,445 Marks St,Henderson,Nevada,89014,(702) 737-8464,02/02/2017,09/30/2026,Gaming,Gaming,Sell food and beverages (alcoholic and non-alcoholic) at retail to the general public. Provide 15 gaming devices as an amenity.,City of Henderson,Yes,No,No,No,7120 Rafael Ridge Way,,Las Vegas,NV,89119
2019310401,PKWY District LLC,PKWY District,2235 Village Walk Dr,Henderson,Nevada,89052,(702) 855-3842,03/19/2019,09/30/2026,Gaming,Gaming,Provide 15 gaming devices as an amenity.,City of Henderson,Yes,No,No,No,7120 Rafael Ridge  Way,,Las Vegas,NV,89119
1800040054,"Eldorado, Inc.",Cadence Crossing Casino,920 N Boulder Hwy,Henderson,Nevada,89011,,04/01/2017,09/30/2026,Gaming,Gaming,Non-Restricted Gaming,City of Henderson,Yes,No,No,No,920 N Boulder Hwy,,Henderson,NV,89015
2020315331,DeSimone Gaming Inc.,The Pass at Water Street,140 S Water St,Henderson,Nevada,89015,(702) 990-8660,03/23/2021,09/30/2026,Gaming,Gaming,The Pass at Water Street will offer gambling,City of Henderson,Yes,No,No,No,1500 Railroad Pass Casino Rd,,Henderson,NV,89002
